mal_id,title,images,approved,type,source,episodes,status,airing,duration,score,scored_by,rank,popularity,members,favorites,year,studios,genres
5114,Fullmetal Alchemist: Brotherhood,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1208/94745.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1208/94745t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1208/94745l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1208/94745.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1208/94745t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1208/94745l.webp'}}",True,TV,Manga,64.0,Finished Airing,False,24 min per ep,9.1,2012492,1,3,3163794,216924,2009.0,"[{'mal_id': 4, 'type': 'anime', 'name': 'Bones', 'url': 'https://myanimelist.net/anime/producer/4/Bones'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}]"
41467,Bleach: Sennen Kessen-hen,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1956/126621.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1956/126621t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1956/126621l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1956/126621.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1956/126621t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1956/126621l.webp'}}",True,TV,Manga,13.0,Finished Airing,False,24 min per ep,9.07,207915,2,473,436708,17627,2022.0,"[{'mal_id': 1, 'type': 'anime', 'name': 'Pierrot', 'url': 'https://myanimelist.net/anime/producer/1/Pierrot'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}]"
9253,Steins;Gate,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1935/127974.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1935/127974t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1935/127974l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1935/127974.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1935/127974t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1935/127974l.webp'}}",True,TV,Visual novel,24.0,Finished Airing,False,24 min per ep,9.07,1331308,3,13,2430698,182366,2011.0,"[{'mal_id': 314, 'type': 'anime', 'name': 'White Fox', 'url': 'https://myanimelist.net/anime/producer/314/White_Fox'}]","[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}, {'mal_id': 41, 'type': 'anime', 'name': 'Suspense', 'url': 'https://myanimelist.net/anime/genre/41/Suspense'}]"
38524,Shingeki no Kyojin Season 3 Part 2,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1517/100633.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1517/100633t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1517/100633l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1517/100633.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1517/100633t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1517/100633l.webp'}}",True,TV,Manga,10.0,Finished Airing,False,23 min per ep,9.06,1463853,4,24,2091684,55056,2019.0,"[{'mal_id': 858, 'type': 'anime', 'name': 'Wit Studio', 'url': 'https://myanimelist.net/anime/producer/858/Wit_Studio'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]"
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1279/131078.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1279/131078t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1279/131078l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1279/131078.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1279/131078t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1279/131078l.webp'}}",True,Special,Manga,2.0,Currently Airing,True,1 hr 1 min per ep,9.06,148423,5,494,423355,8749,,"[{'mal_id': 569, 'type': 'anime', 'name': 'MAPPA', 'url': 'https://myanimelist.net/anime/producer/569/MAPPA'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 41, 'type': 'anime', 'name': 'Suspense', 'url': 'https://myanimelist.net/anime/genre/41/Suspense'}]"
28977,Gintama°,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/3/72078.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/3/72078t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/3/72078l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/3/72078.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/3/72078t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/3/72078l.webp'}}",True,TV,Manga,51.0,Finished Airing,False,24 min per ep,9.06,236939,6,333,592665,15868,2015.0,"[{'mal_id': 1258, 'type': 'anime', 'name': 'Bandai Namco Pictures', 'url': 'https://myanimelist.net/anime/producer/1258/Bandai_Namco_Pictures'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]"
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1160/122627.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1160/122627t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1160/122627l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1160/122627.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1160/122627t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1160/122627l.webp'}}",True,TV,Manga,13.0,Finished Airing,False,23 min per ep,9.05,444575,7,201,810827,28861,2022.0,"[{'mal_id': 56, 'type': 'anime', 'name': 'A-1 Pictures', 'url': 'https://myanimelist.net/anime/producer/56/A-1_Pictures'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}]"
9969,Gintama',"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/50361.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/50361t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/50361l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/50361.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/50361t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/50361l.webp'}}",True,TV,Manga,51.0,Finished Airing,False,24 min per ep,9.04,225189,8,387,522818,7725,2011.0,"[{'mal_id': 14, 'type': 'anime', 'name': 'Sunrise', 'url': 'https://myanimelist.net/anime/producer/14/Sunrise'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]"
39486,Gintama: The Final,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1245/116760.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1245/116760t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1245/116760l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1245/116760.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1245/116760t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1245/116760l.webp'}}",True,Movie,Manga,1.0,Finished Airing,False,1 hr 44 min,9.04,63027,9,1571,131660,4050,,"[{'mal_id': 1258, 'type': 'anime', 'name': 'Bandai Namco Pictures', 'url': 'https://myanimelist.net/anime/producer/1258/Bandai_Namco_Pictures'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]"
11061,Hunter x Hunter (2011),"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1337/99013.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1337/99013t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1337/99013l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1337/99013.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1337/99013t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1337/99013l.webp'}}",True,TV,Manga,148.0,Finished Airing,False,23 min per ep,9.04,1643559,10,10,2643699,199473,2011.0,"[{'mal_id': 11, 'type': 'anime', 'name': 'Madhouse', 'url': 'https://myanimelist.net/anime/producer/11/Madhouse'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}]"
